,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10
236,Mendocino,2017,365,226,131,7,0,1,0,203,70,45,0,0,107,255,3
237,Merced,2017,364,127,203,31,3,0,0,161,100,58,0,0,173,189,2
238,Mono,2017,365,300,40,5,1,4,15,3767,63,18,0,0,0,40,325
239,Monterey,2017,365,265,99,1,0,0,0,121,58,41,0,0,188,150,27
240,Napa,2017,365,137,214,7,5,2,0,274,71,53,1,1,37,326,0
241,Nevada,2017,365,194,90,62,19,0,0,185,133,49,0,0,343,22,0
242,Orange,2017,365,86,247,30,2,0,0,151,97,59,0,15,138,209,3
243,Placer,2017,365,211,145,7,2,0,0,156,77,46,0,5,224,134,2
244,Plumas,2017,351,184,142,17,8,0,0,189,90,47,0,0,0,351,0
245,Riverside,2017,365,26,188,100,43,6,2,359,161,87,0,1,213,120,31
246,Sacramento,2017,365,105,225,33,2,0,0,164,100,60,0,0,146,215,4
247,San Benito,2017,365,284,79,2,0,0,0,117,64,41,0,0,311,51,3
248,San Bernardino,2017,365,9,209,73,51,23,0,233,185,84,0,8,203,140,14
249,San Diego,2017,365,41,262,56,6,0,0,174,112,68,0,0,203,162,0
250,San Francisco,2017,365,211,147,7,0,0,0,136,67,44,0,28,103,234,0
251,San Joaquin,2017,365,141,191,33,0,0,0,146,100,55,0,2,153,202,8
252,San Luis Obispo,2017,365,107,250,8,0,0,0,133,82,58,0,0,158,187,20
253,San Mateo,2017,365,238,120,4,3,0,0,155,62,42,0,13,123,229,0
254,Santa Barbara,2017,365,181,167,6,8,2,1,313,74,51,0,0,169,187,9
255,Santa Clara,2017,365,174,179,9,3,0,0,182,75,52,0,5,132,228,0
256,Santa Cruz,2017,365,269,92,4,0,0,0,130,61,39,0,0,176,189,0
257,Shasta,2017,365,260,91,12,2,0,0,159,84,44,0,0,348,17,0
258,Siskiyou,2017,225,198,23,3,1,0,0,167,57,28,0,0,134,91,0
259,Solano,2017,365,173,182,5,5,0,0,184,73,52,0,2,121,242,0
260,Sonoma,2017,365,267,93,2,3,0,0,169,60,41,0,0,186,178,1
261,Stanislaus,2017,365,127,175,55,8,0,0,185,112,61,0,1,207,150,7
262,Sutter,2017,365,128,228,9,0,0,0,130,84,56,0,0,134,228,3
263,Tehama,2017,365,237,119,6,3,0,0,172,77,42,0,0,277,88,0
264,Trinity,2017,203,76,116,6,1,1,3,844,91,57,0,0,0,203,0
265,Tulare,2017,365,67,171,96,31,0,0,174,147,81,0,0,211,147,7
266,Tuolumne,2017,362,231,106,25,0,0,0,143,93,44,0,0,362,0,0
267,Ventura,2017,365,117,215,20,6,5,2,961,100,57,0,0,176,182,7
268,Yolo,2017,365,228,130,6,1,0,0,154,71,45,0,0,223,141,1
269,Alameda,2018,365,77,271,5,9,3,0,248,79,57,0,1,22,342,0
270,Amador,2018,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0
271,Butte,2018,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1
272,Calaveras,2018,364,52,292,14,6,0,0,160,87,58,0,0,71,293,0
273,Colusa,2018,365,206,131,10,17,1,0,299,84,46,0,0,138,210,17
274,Contra Costa,2018,365,111,236,7,8,3,0,270,74,55,0,0,45,320,0
275,Del Norte,2018,180,134,46,0,0,0,0,80,58,33,0,0,0,180,0
276,El Dorado,2018,365,221,107,27,9,1,0,203,101,45,0,0,347,9,9
277,Fresno,2018,365,61,206,79,19,0,0,185,133,75,0,0,210,151,4
278,Glenn,2018,363,242,105,9,6,1,0,255,71,39,0,0,130,185,48
279,Humboldt,2018,365,301,58,5,1,0,0,167,58,35,0,2,231,117,15
280,Imperial,2018,365,67,248,41,7,2,0,286,108,64,0,4,103,164,94
281,Inyo,2018,365,192,136,26,7,2,2,638,101,49,0,0,291,44,30
282,Kern,2018,365,45,190,103,27,0,0,190,142,84,0,0,226,126,13
283,Kings,2018,365,68,239,49,9,0,0,190,114,70,0,0,161,160,44
284,Lake,2018,357,344,10,1,1,1,0,233,43,33,0,0,343,12,2
285,Los Angeles,2018,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1
286,Madera,2018,365,122,208,30,5,0,0,169,100,58,0,0,181,160,24
287,Marin,2018,365,235,117,3,9,1,0,243,63,43,0,11,85,269,0
288,Mariposa,2018,365,156,169,10,13,15,2,352,108,53,0,0,226,139,0
289,Mendocino,2018,364,217,126,13,6,1,1,376,69,46,0,0,81,282,1
290,Merced,2018,365,110,214,32,9,0,0,178,101,56,0,1,139,224,1
291,Mono,2018,365,252,84,14,10,3,2,1049,85,27,0,0,0,234,131
292,Monterey,2018,365,258,100,5,2,0,0,157,57,42,0,0,149,189,27
