county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases,y_pred,residual
Plumas,2015,132,52,66,10,4,0,0,159,102,56,0,0,0,132,0,55.71,98.0,58.88029945552772,-3.1702994555277186
Riverside,2015,365,19,206,106,32,2,0,238,150,88,0,0,178,131,56,43.08,10095.0,46.90783250671822,-3.8278325067182237
Sacramento,2015,365,101,237,24,3,0,0,172,93,58,0,1,146,218,0,69.13,10100.0,65.92731708954793,3.2026829104520687
San Benito,2015,365,303,62,0,0,0,0,93,58,40,0,0,314,50,1,50.0,284.0,56.795819306397895,-6.795819306397895
San Bernardino,2015,365,14,221,88,37,5,0,223,154,84,0,18,190,151,6,59.21,12741.0,56.91385014073834,2.2961498592616607
San Diego,2015,365,46,278,40,1,0,0,156,102,65,0,1,160,202,2,36.95,11629.0,38.112273054886806,-1.1622730548868034
San Francisco,2015,365,246,119,0,0,0,0,100,61,39,0,41,134,190,0,41.06,3136.0,41.93610124916352,-0.8761012491635185
San Joaquin,2015,365,83,246,32,4,0,0,164,100,60,0,0,122,239,4,65.96,4789.0,65.65192500974021,0.308074990259783
San Luis Obispo,2015,365,95,265,5,0,0,0,126,80,58,0,0,129,229,7,40.05,949.0,39.137832506718304,0.912167493281693
San Mateo,2015,365,297,67,1,0,0,0,101,56,35,1,22,198,144,0,36.36,2688.0,35.39394707746029,0.9660529225397099
Santa Barbara,2015,365,168,196,1,0,0,0,101,69,51,0,3,160,200,2,40.63,1731.0,38.88280167237764,1.747198327622364
Santa Clara,2015,365,179,179,7,0,0,0,147,71,51,0,6,120,239,0,35.04,6514.0,34.890880975079185,0.14911902492081452
Santa Cruz,2015,365,282,83,0,0,0,0,95,59,38,0,0,187,178,0,36.24,905.0,38.37502194646197,-2.1350219464619684
Shasta,2015,365,252,100,12,1,0,0,157,84,44,0,0,351,14,0,60.21,1010.0,51.49225542086669,8.71774457913331
Siskiyou,2015,362,330,28,4,0,0,0,139,49,36,0,0,331,29,2,47.22,176.0,45.51933472356827,1.700665276431728
Solano,2015,365,186,175,4,0,0,0,118,74,50,0,6,142,216,1,83.0,3407.0,78.9931144494839,4.0068855505161025
Sonoma,2015,365,293,72,0,0,0,0,90,58,37,0,0,215,148,2,40.01,1927.0,41.88416291784479,-1.8741629178447923
Stanislaus,2015,365,92,225,43,5,0,0,187,112,62,0,0,164,194,7,60.63,3279.0,59.711004312441695,0.9189956875583078
Sutter,2015,365,157,200,8,0,0,0,119,86,54,1,0,182,182,0,33.88,335.0,38.22985014073848,-4.349850140738475
Tehama,2015,365,223,123,18,1,0,0,154,87,47,0,0,304,59,2,52.4,321.0,55.55097347810109,-3.1509734781010934
Trinity,2015,68,67,1,0,0,0,0,56,29,12,0,0,0,68,0,60.99,67.0,49.78402204724097,11.205977952759035
Tulare,2015,365,29,238,78,20,0,0,176,143,80,0,0,191,171,3,51.27,2541.0,48.20542722659004,3.0645727734099637
Tuolumne,2015,364,264,89,11,0,0,0,126,77,43,0,0,364,0,0,53.24,257.0,52.162224586526065,1.0777754134739368
Ventura,2015,365,119,233,13,0,0,0,126,85,56,0,2,162,198,3,35.2,2927.0,38.43928625520728,-3.2392862552072756
Yolo,2015,365,185,176,4,0,0,0,103,77,50,0,1,160,204,0,44.07,851.0,45.894502095591825,-1.824502095591825
Alameda,2016,366,155,196,13,2,0,0,154,74,52,0,2,123,241,0,57.7,9073.0,53.64190217012374,4.05809782987626
Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,61.35,186.0,56.02021494723004,5.329785052769964
Butte,2016,366,115,235,16,0,0,0,127,87,57,0,0,143,223,0,37.89,766.0,43.398540924656686,-5.508540924656685
Calaveras,2016,366,195,149,22,0,0,0,150,87,49,0,0,240,125,1,45.15,171.0,52.07330745025196,-6.923307450251961
Colusa,2016,366,222,144,0,0,0,0,92,64,45,0,0,179,174,13,29.58,67.0,42.048012307165905,-12.468012307165907
Contra Costa,2016,366,210,153,3,0,0,0,143,63,46,0,0,137,229,0,56.61,6008.0,55.84857619269715,0.7614238073028474
Del Norte,2016,177,156,21,0,0,0,0,69,52,26,0,0,0,177,0,70.77,171.0,55.33576119874105,15.43423880125895
El Dorado,2016,366,221,102,31,12,0,0,172,105,45,0,0,363,3,0,35.44,564.0,37.293338284592664,-1.8533382845926667
Fresno,2016,366,62,199,80,25,0,0,190,140,76,0,0,193,163,10,67.36,6922.0,66.27165106169882,1.0883489383011806
Glenn,2016,362,194,168,0,0,0,0,92,64,48,0,0,137,221,4,36.33,103.0,42.181805233402066,-5.851805233402068
Humboldt,2016,366,288,78,0,0,0,0,77,57,38,0,1,192,169,4,64.47,814.0,59.08374356472083,5.386256435279172
Imperial,2016,366,64,257,39,3,1,2,546,105,61,0,2,118,156,90,66.2,1286.0,59.55038675295341,6.649613247046595
Inyo,2016,366,238,105,15,4,1,3,418,87,45,0,0,301,29,36,53.88,90.0,53.96148368967519,-0.08148368967518849
Kern,2016,366,46,204,102,14,0,0,169,136,80,0,0,211,148,7,54.29,4986.0,50.57760702703771,3.7123929729622915
Kings,2016,366,61,231,71,3,0,0,156,115,72,0,0,164,155,47,64.83,1024.0,63.49674356472075,1.333256435279246
Lake,2016,365,356,9,0,0,0,0,74,44,33,0,0,363,2,0,79.39,487.0,75.39793300446449,3.9920669955355095
Los Angeles,2016,366,7,255,81,19,4,0,226,134,77,0,23,152,190,1,51.19,50476.0,48.65121494722997,2.538785052770031
Madera,2016,366,91,225,47,3,0,0,156,105,63,0,0,187,167,12,60.05,954.0,55.48436911893318,4.5656308810668165
Marin,2016,366,296,70,0,0,0,0,90,55,36,0,4,137,225,0,23.09,543.0,24.969655495398726,-1.8796554953987261
Mariposa,2016,366,197,149,19,1,0,0,159,93,48,0,0,242,114,10,45.2,66.0,40.63715327854875,4.562846721451251
Mendocino,2016,364,287,77,0,0,0,0,70,54,39,0,0,105,258,1,56.08,448.0,58.58477883276124,-2.5047788327612395
Merced,2016,366,115,216,33,2,0,0,151,100,58,0,0,178,186,2,79.01,2207.0,69.90482286742225,9.10517713257775
Mono,2016,366,312,21,3,6,0,24,7063,63,18,0,0,0,37,329,28.06,33.0,39.373422020994084,-11.313422020994086
Monterey,2016,366,290,65,3,8,0,0,185,55,37,0,0,203,140,23,44.19,1953.0,42.39112244420812,1.7988775557918757
Napa,2016,366,219,147,0,0,0,0,90,61,44,0,0,104,261,1,33.48,439.0,38.420739209185676,-4.940739209185679
Nevada,2016,366,232,89,40,5,0,0,179,101,45,0,0,353,13,0,33.6,267.0,35.83084050144249,-2.2308405014424864
Orange,2016,366,87,264,13,2,0,0,169,88,58,0,16,118,231,1,29.17,8861.0,31.682338284592543,-2.5123382845925413
Placer,2016,366,187,159,17,3,0,0,166,80,50,0,5,174,187,0,28.25,967.0,32.23284050144245,-3.9828405014424533
Plumas,2016,355,203,141,10,1,0,0,152,76,43,0,0,0,355,0,61.47,99.0,52.051047575206375,9.418952424793623
Riverside,2016,366,23,214,86,37,4,2,379,154,83,0,0,190,128,48,41.36,9576.0,41.69232508427213,-0.3323250842721279
Sacramento,2016,366,136,191,33,6,0,0,172,101,55,0,0,172,194,0,60.63,8938.0,61.11524578157065,-0.48524578157064724
San Benito,2016,366,298,63,5,0,0,0,126,61,39,0,0,325,41,0,48.56,267.0,52.38718411288942,-3.8271841128894195
San Bernardino,2016,366,9,219,78,48,12,0,217,172,84,0,19,182,157,8,51.78,11302.0,52.706933004464275,-0.9269330044642743
San Diego,2016,366,30,294,40,2,0,0,164,105,68,0,2,176,188,0,30.96,10056.0,34.510510090315954,-3.550510090315953
San Francisco,2016,366,236,130,0,0,0,0,71,58,41,1,26,115,224,0,38.44,2987.0,38.132620227358274,0.307379772641724
San Joaquin,2016,366,62,278,25,1,0,0,166,93,60,0,1,94,270,1,57.37,4233.0,61.44500787346614,-4.0750078734661415
San Luis Obispo,2016,366,140,217,8,1,0,0,156,84,55,0,0,206,143,17,37.97,924.0,34.32576119874102,3.644238801258979
San Mateo,2016,366,214,152,0,0,0,0,70,59,47,1,14,80,271,0,32.35,2377.0,33.607646627999095,-1.2576466279990939
Santa Barbara,2016,366,191,163,9,2,0,1,313,69,50,0,0,172,166,28,37.65,1638.0,34.474166478869165,3.1758335211308335
Santa Clara,2016,366,187,178,1,0,0,0,101,64,50,0,4,95,267,0,29.02,5522.0,30.482245781570708,-1.462245781570708
Santa Cruz,2016,366,306,60,0,0,0,0,76,54,35,0,0,162,204,0,34.4,862.0,33.562950638484686,0.8370493615153123
Shasta,2016,366,296,56,14,0,0,0,140,74,41,0,0,358,8,0,46.21,724.0,46.680184112889414,-0.4701841128894131
Siskiyou,2016,362,351,11,0,0,0,0,93,44,27,0,0,335,27,0,33.72,128.0,39.49695507218455,-5.776955072184549
Solano,2016,366,213,151,2,0,0,0,105,65,47,0,3,137,226,0,80.45,3340.0,74.1810431415066,6.268956858493397
Sonoma,2016,366,323,43,0,0,0,0,87,51,34,0,0,265,99,2,36.56,1681.0,37.072091609867506,-0.5120916098675039
Stanislaus,2016,366,102,221,40,3,0,0,164,103,59,0,0,163,202,1,51.13,2757.0,54.89893300446441,-3.768933004464408
Sutter,2016,366,115,219,32,0,0,0,147,97,58,0,0,158,208,0,33.39,322.0,34.82980523340204,-1.4398052334020406
Tehama,2016,366,218,106,37,5,0,0,174,108,45,0,0,307,58,1,55.95,335.0,50.94062022735822,5.009379772641786
Trinity,2016,167,83,84,0,0,0,0,97,73,51,0,0,0,167,0,52.46,55.0,53.44410914310874,-0.9841091431087392
